city,country,lat,lng,max_temp,humidity,cloudiness,wind_speed,date
Minas de Barroterán,MX,27.6333,-101.2833,98.69,16,20,4.0,1619655916
Haines Junction,CA,60.7522,-137.5108,42.8,33,78,8.05,1619655916
Nazas,MX,25.2333,-104.1333,87.82,13,3,29.26,1619655916
Sistranda,NO,63.7256,8.834,32.0,86,20,2.3,1619655917
Pánuco,MX,22.05,-98.1667,80.6,83,20,23.02,1619655917
Mocorito,MX,25.4833,-107.9167,82.0,37,0,10.0,1619655917
Asău,RO,46.4333,26.4,42.01,61,99,2.15,1619655918
Tabuk,PH,17.4189,121.4443,79.68,65,41,5.06,1619655918
Mandera,KE,3.9366,41.867,81.93,66,100,13.27,1619655918
Isangel,VU,-19.55,169.2667,80.6,61,40,5.75,1619655918
Hirara,JP,24.8,125.2833,75.2,83,75,11.5,1619655919
Yulara,AU,-25.2406,130.9889,66.2,32,0,11.5,1619655919
Tateyama,JP,34.9833,139.8667,68.0,77,75,13.8,1619655919
Zambezi,ZM,-13.5432,23.1047,63.37,90,59,5.35,1619655920
Talcahuano,CL,-36.7167,-73.1167,59.0,88,0,9.22,1619655920
Severodvinsk,RU,64.5635,39.8302,23.0,93,20,5.7,1619655920
Bethel,US,41.3712,-73.414,69.8,46,90,5.01,1619655921
Mineros,BO,-17.1167,-63.2333,68.0,73,75,6.91,1619655921
Brewster,US,41.3973,-73.6171,66.0,80,100,5.88,1619655921
Henderson,US,36.0397,-114.9819,82.99,10,1,17.27,1619655638
Cocentaina,ES,38.7398,-0.4398,57.99,91,99,1.01,1619655922
Canguaretama,BR,-6.38,-35.1289,78.8,83,20,5.75,1619655922
Buin,CL,-33.7333,-70.75,71.01,52,0,8.05,1619655922
Ishinomaki,JP,38.4167,141.3,57.2,88,75,1.14,1619655923
Consett,GB,54.854,-1.8316,39.0,90,78,6.53,1619655923
Sabang,ID,5.8933,95.3214,82.22,71,75,1.7,1619655923
Oistins,BB,13.0667,-59.5333,78.8,65,75,20.71,1619655694
Megion,RU,61.0296,76.1136,37.4,75,0,6.71,1619655924
Port Keats,AU,-14.25,129.55,84.25,61,9,9.4,1619655924
Durban,ZA,-29.8579,31.0292,72.0,88,75,4.61,1619655924
Road Town,VG,18.4167,-64.6167,75.99,78,75,6.91,1619655916
Patancheru,IN,17.5314,78.265,79.0,61,40,5.75,1619655925
Abū Zabad,SD,12.35,29.25,84.38,18,65,4.72,1619655925
Guiglo,CI,6.5456,-7.4966,74.14,98,68,1.81,1619655926
Chambersburg,US,39.9376,-77.6611,82.4,39,75,4.61,1619655788
Grand Island,US,40.925,-98.342,62.6,63,20,12.66,1619655926
Alofi,NU,-19.0595,-169.9187,84.2,84,90,8.05,1619655927
Kropotkin,RU,45.4375,40.5756,50.0,85,49,9.8,1619655927
Tuatapere,NZ,-46.1333,167.6833,57.99,80,93,8.01,1619655927
Rumford,US,44.5537,-70.5509,54.0,87,100,1.01,1619655928
Māgadi,IN,12.9667,77.2333,71.6,73,48,1.14,1619655928
Bay City,US,43.5945,-83.8889,51.8,82,90,13.8,1619655689
Thenali,IN,16.2425,80.6398,80.6,94,75,3.74,1619655928
Angoram,PG,-4.0625,144.0661,82.96,73,100,3.58,1619655929
Chokurdakh,RU,70.6333,147.9167,17.87,90,82,10.78,1619655929
Rocky Mountain House,CA,52.3668,-114.9188,57.2,33,87,3.44,1619655929
Lichuan,CN,30.3,108.85,54.84,87,77,2.51,1619655930
Havøysund,NO,70.9963,24.6622,26.6,74,75,4.61,1619655930
Nabire,ID,-3.3667,135.4833,83.75,67,82,2.1,1619655930
Sena Madureira,BR,-9.0656,-68.6569,71.69,98,46,2.86,1619655931
